trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,header.started,plus.started,minus.started,win_lose.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,red.response,participant,session,date,expName,psychopyVersion,frameRate,
32,0,32,0,13.778427599998395,13.778427599998395,13.778427599998395,13.778427599998395,19,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396, 0.15911899999991874, 0.31947589999981574, 0.2958695999986958, 0.34401340000113123, 0.26289290000022447, 0.21193359999961103, 0.1864499999992404, 0.32145759999912116, 0.18830500000149186, 0.16019989999949757, 0.15765660000033677, 0.2898672000010265, 0.21457609999924898, 0.26450219999969704, 0.20924279999962891]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.05574039999919478, 0.02592750000076194, 0.02966009999909147, 0.05750890000126674, 0.05443809999997029, 0.08418650000021444, 0.05399779999970633, 0.05429360000016459, 0.056902800000898424, 0.02615679999871645, 0.02619349999986298, 0.026086300000315532, 0.0537542999991274, 0.05434380000042438, 0.08021010000084061, 0.20924589999958698]",14,"[0.3981490999995003, 0.2927892999996402, 0.18755179999971006, 0.18761540000014065, 0.1360060999995767, 0.319960999999239, 0.29351110000061453, 0.21030160000009346, 0.16104679999989457, 0.13593939999918803, 0.2654204000009486, 0.20943809999880614, 0.237494400000287, 0.24164620000010473]","[0.05438959999992221, 0.029803999999785447, 0.054986300001473865, 0.025950299999749404, 0.025997999999162857, 0.05406509999920672, 0.054180600000108825, 0.0540075999997498, 0.05477760000030685, 0.027675900000758702, 0.05365689999962342, 0.0260164999999688, 0.026431899999806774, 0.05476310000085505]",None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
33,0,33,0,14.002241299998786,14.002241299998786,14.002241299998786,14.002241299998786,20,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396, 0.15911899999991874, 0.31947589999981574, 0.2958695999986958, 0.34401340000113123, 0.26289290000022447, 0.21193359999961103, 0.1864499999992404, 0.32145759999912116, 0.18830500000149186, 0.16019989999949757, 0.15765660000033677, 0.2898672000010265, 0.21457609999924898, 0.26450219999969704, 0.20924279999962891, 0.13467940000009548]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.05574039999919478, 0.02592750000076194, 0.02966009999909147, 0.05750890000126674, 0.05443809999997029, 0.08418650000021444, 0.05399779999970633, 0.05429360000016459, 0.056902800000898424, 0.02615679999871645, 0.02619349999986298, 0.026086300000315532, 0.0537542999991274, 0.05434380000042438, 0.08021010000084061, 0.026071899999806192, 0.1346824000011111]",14,"[0.3981490999995003, 0.2927892999996402, 0.18755179999971006, 0.18761540000014065, 0.1360060999995767, 0.319960999999239, 0.29351110000061453, 0.21030160000009346, 0.16104679999989457, 0.13593939999918803, 0.2654204000009486, 0.20943809999880614, 0.237494400000287, 0.24164620000010473]","[0.05438959999992221, 0.029803999999785447, 0.054986300001473865, 0.025950299999749404, 0.025997999999162857, 0.05406509999920672, 0.054180600000108825, 0.0540075999997498, 0.05477760000030685, 0.027675900000758702, 0.05365689999962342, 0.0260164999999688, 0.026431899999806774, 0.05476310000085505]",None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
34,0,34,0,14.15209219999997,14.15209219999997,14.15209219999997,14.15209219999997,21,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396, 0.15911899999991874, 0.31947589999981574, 0.2958695999986958, 0.34401340000113123, 0.26289290000022447, 0.21193359999961103, 0.1864499999992404, 0.32145759999912116, 0.18830500000149186, 0.16019989999949757, 0.15765660000033677, 0.2898672000010265, 0.21457609999924898, 0.26450219999969704, 0.20924279999962891, 0.13467940000009548, 0.13973769999938668]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.05574039999919478, 0.02592750000076194, 0.02966009999909147, 0.05750890000126674, 0.05443809999997029, 0.08418650000021444, 0.05399779999970633, 0.05429360000016459, 0.056902800000898424, 0.02615679999871645, 0.02619349999986298, 0.026086300000315532, 0.0537542999991274, 0.05434380000042438, 0.08021010000084061, 0.026071899999806192, 0.026608300000589225, 0.1397409000001062]",14,"[0.3981490999995003, 0.2927892999996402, 0.18755179999971006, 0.18761540000014065, 0.1360060999995767, 0.319960999999239, 0.29351110000061453, 0.21030160000009346, 0.16104679999989457, 0.13593939999918803, 0.2654204000009486, 0.20943809999880614, 0.237494400000287, 0.24164620000010473]","[0.05438959999992221, 0.029803999999785447, 0.054986300001473865, 0.025950299999749404, 0.025997999999162857, 0.05406509999920672, 0.054180600000108825, 0.0540075999997498, 0.05477760000030685, 0.027675900000758702, 0.05365689999962342, 0.0260164999999688, 0.026431899999806774, 0.05476310000085505]",None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
35,0,35,0,14.307131899999149,14.307131899999149,14.307131899999149,14.307131899999149,21,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396, 0.15911899999991874, 0.31947589999981574, 0.2958695999986958, 0.34401340000113123, 0.26289290000022447, 0.21193359999961103, 0.1864499999992404, 0.32145759999912116, 0.18830500000149186, 0.16019989999949757, 0.15765660000033677, 0.2898672000010265, 0.21457609999924898, 0.26450219999969704, 0.20924279999962891, 0.13467940000009548, 0.13973769999938668]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.05574039999919478, 0.02592750000076194, 0.02966009999909147, 0.05750890000126674, 0.05443809999997029, 0.08418650000021444, 0.05399779999970633, 0.05429360000016459, 0.056902800000898424, 0.02615679999871645, 0.02619349999986298, 0.026086300000315532, 0.0537542999991274, 0.05434380000042438, 0.08021010000084061, 0.026071899999806192, 0.026608300000589225, 0.02667020000080811]",15,"[0.3981490999995003, 0.2927892999996402, 0.18755179999971006, 0.18761540000014065, 0.1360060999995767, 0.319960999999239, 0.29351110000061453, 0.21030160000009346, 0.16104679999989457, 0.13593939999918803, 0.2654204000009486, 0.20943809999880614, 0.237494400000287, 0.24164620000010473, 0.2410667000003741]","[0.05438959999992221, 0.029803999999785447, 0.054986300001473865, 0.025950299999749404, 0.025997999999162857, 0.05406509999920672, 0.054180600000108825, 0.0540075999997498, 0.05477760000030685, 0.027675900000758702, 0.05365689999962342, 0.0260164999999688, 0.026431899999806774, 0.05476310000085505, 0.24106969999957073]",None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
36,0,36,0,14.565958899998805,14.565958899998805,14.565958899998805,14.565958899998805,21,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396, 0.15911899999991874, 0.31947589999981574, 0.2958695999986958, 0.34401340000113123, 0.26289290000022447, 0.21193359999961103, 0.1864499999992404, 0.32145759999912116, 0.18830500000149186, 0.16019989999949757, 0.15765660000033677, 0.2898672000010265, 0.21457609999924898, 0.26450219999969704, 0.20924279999962891, 0.13467940000009548, 0.13973769999938668]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.05574039999919478, 0.02592750000076194, 0.02966009999909147, 0.05750890000126674, 0.05443809999997029, 0.08418650000021444, 0.05399779999970633, 0.05429360000016459, 0.056902800000898424, 0.02615679999871645, 0.02619349999986298, 0.026086300000315532, 0.0537542999991274, 0.05434380000042438, 0.08021010000084061, 0.026071899999806192, 0.026608300000589225, 0.02667020000080811]",16,"[0.3981490999995003, 0.2927892999996402, 0.18755179999971006, 0.18761540000014065, 0.1360060999995767, 0.319960999999239, 0.29351110000061453, 0.21030160000009346, 0.16104679999989457, 0.13593939999918803, 0.2654204000009486, 0.20943809999880614, 0.237494400000287, 0.24164620000010473, 0.2410667000003741, 0.1608248000011372]","[0.05438959999992221, 0.029803999999785447, 0.054986300001473865, 0.025950299999749404, 0.025997999999162857, 0.05406509999920672, 0.054180600000108825, 0.0540075999997498, 0.05477760000030685, 0.027675900000758702, 0.05365689999962342, 0.0260164999999688, 0.026431899999806774, 0.05476310000085505, 0.029429000000163796, 0.1608278000003338]",None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
37,0,37,0,14.7381134999996,14.7381134999996,14.7381134999996,14.7381134999996,21,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396, 0.15911899999991874, 0.31947589999981574, 0.2958695999986958, 0.34401340000113123, 0.26289290000022447, 0.21193359999961103, 0.1864499999992404, 0.32145759999912116, 0.18830500000149186, 0.16019989999949757, 0.15765660000033677, 0.2898672000010265, 0.21457609999924898, 0.26450219999969704, 0.20924279999962891, 0.13467940000009548, 0.13973769999938668]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.05574039999919478, 0.02592750000076194, 0.02966009999909147, 0.05750890000126674, 0.05443809999997029, 0.08418650000021444, 0.05399779999970633, 0.05429360000016459, 0.056902800000898424, 0.02615679999871645, 0.02619349999986298, 0.026086300000315532, 0.0537542999991274, 0.05434380000042438, 0.08021010000084061, 0.026071899999806192, 0.026608300000589225, 0.02667020000080811]",17,"[0.3981490999995003, 0.2927892999996402, 0.18755179999971006, 0.18761540000014065, 0.1360060999995767, 0.319960999999239, 0.29351110000061453, 0.21030160000009346, 0.16104679999989457, 0.13593939999918803, 0.2654204000009486, 0.20943809999880614, 0.237494400000287, 0.24164620000010473, 0.2410667000003741, 0.1608248000011372, 0.1598412000003009]","[0.05438959999992221, 0.029803999999785447, 0.054986300001473865, 0.025950299999749404, 0.025997999999162857, 0.05406509999920672, 0.054180600000108825, 0.0540075999997498, 0.05477760000030685, 0.027675900000758702, 0.05365689999962342, 0.0260164999999688, 0.026431899999806774, 0.05476310000085505, 0.029429000000163796, 0.05390290000104869, 0.1598442000013165]",None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
38,0,38,0,14.915576999999757,14.915576999999757,14.915576999999757,14.915576999999757,21,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396, 0.15911899999991874, 0.31947589999981574, 0.2958695999986958, 0.34401340000113123, 0.26289290000022447, 0.21193359999961103, 0.1864499999992404, 0.32145759999912116, 0.18830500000149186, 0.16019989999949757, 0.15765660000033677, 0.2898672000010265, 0.21457609999924898, 0.26450219999969704, 0.20924279999962891, 0.13467940000009548, 0.13973769999938668]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.05574039999919478, 0.02592750000076194, 0.02966009999909147, 0.05750890000126674, 0.05443809999997029, 0.08418650000021444, 0.05399779999970633, 0.05429360000016459, 0.056902800000898424, 0.02615679999871645, 0.02619349999986298, 0.026086300000315532, 0.0537542999991274, 0.05434380000042438, 0.08021010000084061, 0.026071899999806192, 0.026608300000589225, 0.02667020000080811]",18,"[0.3981490999995003, 0.2927892999996402, 0.18755179999971006, 0.18761540000014065, 0.1360060999995767, 0.319960999999239, 0.29351110000061453, 0.21030160000009346, 0.16104679999989457, 0.13593939999918803, 0.2654204000009486, 0.20943809999880614, 0.237494400000287, 0.24164620000010473, 0.2410667000003741, 0.1608248000011372, 0.1598412000003009, 1.2913084000010713]","[0.05438959999992221, 0.029803999999785447, 0.054986300001473865, 0.025950299999749404, 0.025997999999162857, 0.05406509999920672, 0.054180600000108825, 0.0540075999997498, 0.05477760000030685, 0.027675900000758702, 0.05365689999962342, 0.0260164999999688, 0.026431899999806774, 0.05476310000085505, 0.029429000000163796, 0.05390290000104869, 0.028754800001479452, 1.2913119000004372]",None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
39,0,39,0,16.219700399999056,16.219700399999056,16.219700399999056,16.219700399999056,21,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396, 0.15911899999991874, 0.31947589999981574, 0.2958695999986958, 0.34401340000113123, 0.26289290000022447, 0.21193359999961103, 0.1864499999992404, 0.32145759999912116, 0.18830500000149186, 0.16019989999949757, 0.15765660000033677, 0.2898672000010265, 0.21457609999924898, 0.26450219999969704, 0.20924279999962891, 0.13467940000009548, 0.13973769999938668]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.05574039999919478, 0.02592750000076194, 0.02966009999909147, 0.05750890000126674, 0.05443809999997029, 0.08418650000021444, 0.05399779999970633, 0.05429360000016459, 0.056902800000898424, 0.02615679999871645, 0.02619349999986298, 0.026086300000315532, 0.0537542999991274, 0.05434380000042438, 0.08021010000084061, 0.026071899999806192, 0.026608300000589225, 0.02667020000080811]",19,"[0.3981490999995003, 0.2927892999996402, 0.18755179999971006, 0.18761540000014065, 0.1360060999995767, 0.319960999999239, 0.29351110000061453, 0.21030160000009346, 0.16104679999989457, 0.13593939999918803, 0.2654204000009486, 0.20943809999880614, 0.237494400000287, 0.24164620000010473, 0.2410667000003741, 0.1608248000011372, 0.1598412000003009, 1.2913084000010713, 0.2394175000008545]","[0.05438959999992221, 0.029803999999785447, 0.054986300001473865, 0.025950299999749404, 0.025997999999162857, 0.05406509999920672, 0.054180600000108825, 0.0540075999997498, 0.05477760000030685, 0.027675900000758702, 0.05365689999962342, 0.0260164999999688, 0.026431899999806774, 0.05476310000085505, 0.029429000000163796, 0.05390290000104869, 0.028754800001479452, 0.02652020000095945, 0.239420700001574]",None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
40,0,40,0,16.47734159999891,16.47734159999891,16.47734159999891,16.47734159999891,21,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396, 0.15911899999991874, 0.31947589999981574, 0.2958695999986958, 0.34401340000113123, 0.26289290000022447, 0.21193359999961103, 0.1864499999992404, 0.32145759999912116, 0.18830500000149186, 0.16019989999949757, 0.15765660000033677, 0.2898672000010265, 0.21457609999924898, 0.26450219999969704, 0.20924279999962891, 0.13467940000009548, 0.13973769999938668]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.05574039999919478, 0.02592750000076194, 0.02966009999909147, 0.05750890000126674, 0.05443809999997029, 0.08418650000021444, 0.05399779999970633, 0.05429360000016459, 0.056902800000898424, 0.02615679999871645, 0.02619349999986298, 0.026086300000315532, 0.0537542999991274, 0.05434380000042438, 0.08021010000084061, 0.026071899999806192, 0.026608300000589225, 0.02667020000080811]",20,"[0.3981490999995003, 0.2927892999996402, 0.18755179999971006, 0.18761540000014065, 0.1360060999995767, 0.319960999999239, 0.29351110000061453, 0.21030160000009346, 0.16104679999989457, 0.13593939999918803, 0.2654204000009486, 0.20943809999880614, 0.237494400000287, 0.24164620000010473, 0.2410667000003741, 0.1608248000011372, 0.1598412000003009, 1.2913084000010713, 0.2394175000008545, 0.18952429999990272]","[0.05438959999992221, 0.029803999999785447, 0.054986300001473865, 0.025950299999749404, 0.025997999999162857, 0.05406509999920672, 0.054180600000108825, 0.0540075999997498, 0.05477760000030685, 0.027675900000758702, 0.05365689999962342, 0.0260164999999688, 0.026431899999806774, 0.05476310000085505, 0.029429000000163796, 0.05390290000104869, 0.028754800001479452, 0.02652020000095945, 0.056960300000355346, 0.18952709999939543]",None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
41,0,41,0,16.677806699999564,16.677806699999564,16.677806699999564,16.677806699999564,21,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396, 0.15911899999991874, 0.31947589999981574, 0.2958695999986958, 0.34401340000113123, 0.26289290000022447, 0.21193359999961103, 0.1864499999992404, 0.32145759999912116, 0.18830500000149186, 0.16019989999949757, 0.15765660000033677, 0.2898672000010265, 0.21457609999924898, 0.26450219999969704, 0.20924279999962891, 0.13467940000009548, 0.13973769999938668]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.05574039999919478, 0.02592750000076194, 0.02966009999909147, 0.05750890000126674, 0.05443809999997029, 0.08418650000021444, 0.05399779999970633, 0.05429360000016459, 0.056902800000898424, 0.02615679999871645, 0.02619349999986298, 0.026086300000315532, 0.0537542999991274, 0.05434380000042438, 0.08021010000084061, 0.026071899999806192, 0.026608300000589225, 0.02667020000080811]",21,"[0.3981490999995003, 0.2927892999996402, 0.18755179999971006, 0.18761540000014065, 0.1360060999995767, 0.319960999999239, 0.29351110000061453, 0.21030160000009346, 0.16104679999989457, 0.13593939999918803, 0.2654204000009486, 0.20943809999880614, 0.237494400000287, 0.24164620000010473, 0.2410667000003741, 0.1608248000011372, 0.1598412000003009, 1.2913084000010713, 0.2394175000008545, 0.18952429999990272, 0.16036669999994047]","[0.05438959999992221, 0.029803999999785447, 0.054986300001473865, 0.025950299999749404, 0.025997999999162857, 0.05406509999920672, 0.054180600000108825, 0.0540075999997498, 0.05477760000030685, 0.027675900000758702, 0.05365689999962342, 0.0260164999999688, 0.026431899999806774, 0.05476310000085505, 0.029429000000163796, 0.05390290000104869, 0.028754800001479452, 0.02652020000095945, 0.056960300000355346, 0.02580379999926663, 0.16036960000019462]",None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
42,0,42,0,16.85371109999869,16.85371109999869,16.85371109999869,16.85371109999869,21,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396, 0.15911899999991874, 0.31947589999981574, 0.2958695999986958, 0.34401340000113123, 0.26289290000022447, 0.21193359999961103, 0.1864499999992404, 0.32145759999912116, 0.18830500000149186, 0.16019989999949757, 0.15765660000033677, 0.2898672000010265, 0.21457609999924898, 0.26450219999969704, 0.20924279999962891, 0.13467940000009548, 0.13973769999938668]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.05574039999919478, 0.02592750000076194, 0.02966009999909147, 0.05750890000126674, 0.05443809999997029, 0.08418650000021444, 0.05399779999970633, 0.05429360000016459, 0.056902800000898424, 0.02615679999871645, 0.02619349999986298, 0.026086300000315532, 0.0537542999991274, 0.05434380000042438, 0.08021010000084061, 0.026071899999806192, 0.026608300000589225, 0.02667020000080811]",22,"[0.3981490999995003, 0.2927892999996402, 0.18755179999971006, 0.18761540000014065, 0.1360060999995767, 0.319960999999239, 0.29351110000061453, 0.21030160000009346, 0.16104679999989457, 0.13593939999918803, 0.2654204000009486, 0.20943809999880614, 0.237494400000287, 0.24164620000010473, 0.2410667000003741, 0.1608248000011372, 0.1598412000003009, 1.2913084000010713, 0.2394175000008545, 0.18952429999990272, 0.16036669999994047, 0.2121925999999803]","[0.05438959999992221, 0.029803999999785447, 0.054986300001473865, 0.025950299999749404, 0.025997999999162857, 0.05406509999920672, 0.054180600000108825, 0.0540075999997498, 0.05477760000030685, 0.027675900000758702, 0.05365689999962342, 0.0260164999999688, 0.026431899999806774, 0.05476310000085505, 0.029429000000163796, 0.05390290000104869, 0.028754800001479452, 0.02652020000095945, 0.056960300000355346, 0.02580379999926663, 0.05483559999993304, 0.21219550000023446]",None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
43,0,43,0,17.080217299999276,17.080217299999276,17.080217299999276,17.080217299999276,21,"[0.6739788999984739, 0.41475890000037907, 0.1847077000002173, 0.1361804000007396, 0.15911899999991874, 0.31947589999981574, 0.2958695999986958, 0.34401340000113123, 0.26289290000022447, 0.21193359999961103, 0.1864499999992404, 0.32145759999912116, 0.18830500000149186, 0.16019989999949757, 0.15765660000033677, 0.2898672000010265, 0.21457609999924898, 0.26450219999969704, 0.20924279999962891, 0.13467940000009548, 0.13973769999938668]","[0.057785399998465437, 0.05369130000144651, 0.05429110000113724, 0.05574039999919478, 0.02592750000076194, 0.02966009999909147, 0.05750890000126674, 0.05443809999997029, 0.08418650000021444, 0.05399779999970633, 0.05429360000016459, 0.056902800000898424, 0.02615679999871645, 0.02619349999986298, 0.026086300000315532, 0.0537542999991274, 0.05434380000042438, 0.08021010000084061, 0.026071899999806192, 0.026608300000589225, 0.02667020000080811]",23,"[0.3981490999995003, 0.2927892999996402, 0.18755179999971006, 0.18761540000014065, 0.1360060999995767, 0.319960999999239, 0.29351110000061453, 0.21030160000009346, 0.16104679999989457, 0.13593939999918803, 0.2654204000009486, 0.20943809999880614, 0.237494400000287, 0.24164620000010473, 0.2410667000003741, 0.1608248000011372, 0.1598412000003009, 1.2913084000010713, 0.2394175000008545, 0.18952429999990272, 0.16036669999994047, 0.2121925999999803, 0.1600373999990552]","[0.05438959999992221, 0.029803999999785447, 0.054986300001473865, 0.025950299999749404, 0.025997999999162857, 0.05406509999920672, 0.054180600000108825, 0.0540075999997498, 0.05477760000030685, 0.027675900000758702, 0.05365689999962342, 0.0260164999999688, 0.026431899999806774, 0.05476310000085505, 0.029429000000163796, 0.05390290000104869, 0.028754800001479452, 0.02652020000095945, 0.056960300000355346, 0.02580379999926663, 0.05483559999993304, 0.053883399999904213, 0.16004029999930935]",None,None,581376,001,2023-05-05_16h52.09.621,pb,2022.2.5,234.1339152306156,
