trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,header.started,plus.started,minus.started,win_lose.started,polygon_red.started,polygon_green.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,red.response,participant,session,date,expName,psychopyVersion,frameRate,
10,0,10,0,10.26954509999996,10.26954509999996,10.26954509999996,10.26954509999996,10.26954509999996,10.26954509999996,5,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404]",6,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.26981069999965257]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
11,0,11,0,10.538411999998061,10.538411999998061,10.538411999998061,10.538411999998061,10.538411999998061,10.538411999998061,5,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404]",7,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906, 0.22120730000096955]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.06404579999798443, 0.22121029999834718]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
12,0,12,0,10.791928199996619,10.791928199996619,10.791928199996619,10.791928199996619,10.791928199996619,10.791928199996619,5,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404]",8,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906, 0.22120730000096955, 0.15950919999886537]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.06404579999798443, 8.339999840245582e-05, 0.1595123999977659]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
13,0,13,0,10.965534299997671,10.965534299997671,10.965534299997671,10.965534299997671,10.965534299997671,10.965534299997671,5,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404]",9,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906, 0.22120730000096955, 0.15950919999886537, 0.15767939999932423]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.06404579999798443, 8.339999840245582e-05, 8.459999662591144e-05, 0.15768259999822476]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
14,0,14,0,11.139186399999744,11.139186399999744,11.139186399999744,11.139186399999744,11.139186399999744,11.139186399999744,5,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404]",10,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906, 0.22120730000096955, 0.15950919999886537, 0.15767939999932423, 0.15859700000146404]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.06404579999798443, 8.339999840245582e-05, 8.459999662591144e-05, 0.0474145000007411, 0.15859999999884167]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
15,0,15,0,11.312258999998448,11.312258999998448,11.312258999998448,11.312258999998448,11.312258999998448,11.312258999998448,6,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634, 0.28547180000168737]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404, 0.285474799999065]",10,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906, 0.22120730000096955, 0.15950919999886537, 0.15767939999932423, 0.15859700000146404]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.06404579999798443, 8.339999840245582e-05, 8.459999662591144e-05, 0.0474145000007411, 0.046549800001230324]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
16,0,16,0,11.614241799998126,11.614241799998126,11.614241799998126,11.614241799998126,11.614241799998126,11.614241799998126,7,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634, 0.28547180000168737, 0.15879830000267248]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404, 0.04788209999969695, 0.1588013000000501]",10,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906, 0.22120730000096955, 0.15950919999886537, 0.15767939999932423, 0.15859700000146404]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.06404579999798443, 8.339999840245582e-05, 8.459999662591144e-05, 0.0474145000007411, 0.046549800001230324]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
17,0,17,0,11.78837129999738,11.78837129999738,11.78837129999738,11.78837129999738,11.78837129999738,11.78837129999738,7,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634, 0.28547180000168737, 0.15879830000267248]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404, 0.04788209999969695, 0.00011470000026747584]",11,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906, 0.22120730000096955, 0.15950919999886537, 0.15767939999932423, 0.15859700000146404, 0.2831335999981093]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.06404579999798443, 8.339999840245582e-05, 8.459999662591144e-05, 0.0474145000007411, 0.046549800001230324, 0.28313649999836343]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
18,0,18,0,12.087393999998312,12.087393999998312,12.087393999998312,12.087393999998312,12.087393999998312,12.087393999998312,7,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634, 0.28547180000168737, 0.15879830000267248]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404, 0.04788209999969695, 0.00011470000026747584]",12,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906, 0.22120730000096955, 0.15950919999886537, 0.15767939999932423, 0.15859700000146404, 0.2831335999981093, 0.15845489999992424]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.06404579999798443, 8.339999840245582e-05, 8.459999662591144e-05, 0.0474145000007411, 0.046549800001230324, 8.320000051753595e-05, 0.15845799999806331]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
19,0,19,0,12.24591270000019,12.24591270000019,12.24591270000019,12.24591270000019,12.24591270000019,12.24591270000019,8,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634, 0.28547180000168737, 0.15879830000267248, 0.28850519999832613]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404, 0.04788209999969695, 0.00011470000026747584, 0.28850819999934174]",12,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906, 0.22120730000096955, 0.15950919999886537, 0.15767939999932423, 0.15859700000146404, 0.2831335999981093, 0.15845489999992424]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.06404579999798443, 8.339999840245582e-05, 8.459999662591144e-05, 0.0474145000007411, 0.046549800001230324, 8.320000051753595e-05, 0.03430889999799547]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
20,0,20,0,12.56183339999916,12.56183339999916,12.56183339999916,12.56183339999916,12.56183339999916,12.56183339999916,9,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634, 0.28547180000168737, 0.15879830000267248, 0.28850519999832613, 0.1741100999970513]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404, 0.04788209999969695, 0.00011470000026747584, 0.04706559999976889, 0.1741132999995898]",12,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906, 0.22120730000096955, 0.15950919999886537, 0.15767939999932423, 0.15859700000146404, 0.2831335999981093, 0.15845489999992424]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.06404579999798443, 8.339999840245582e-05, 8.459999662591144e-05, 0.0474145000007411, 0.046549800001230324, 8.320000051753595e-05, 0.03430889999799547]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
21,0,21,0,12.751722899996821,12.751722899996821,12.751722899996821,12.751722899996821,12.751722899996821,12.751722899996821,10,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634, 0.28547180000168737, 0.15879830000267248, 0.28850519999832613, 0.1741100999970513, 0.1593488000034995]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404, 0.04788209999969695, 0.00011470000026747584, 0.04706559999976889, 0.048289100002875784, 0.15935170000011567]",12,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906, 0.22120730000096955, 0.15950919999886537, 0.15767939999932423, 0.15859700000146404, 0.2831335999981093, 0.15845489999992424]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.06404579999798443, 8.339999840245582e-05, 8.459999662591144e-05, 0.0474145000007411, 0.046549800001230324, 8.320000051753595e-05, 0.03430889999799547]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
22,0,22,0,12.924682400000165,12.924682400000165,12.924682400000165,12.924682400000165,12.924682400000165,12.924682400000165,11,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634, 0.28547180000168737, 0.15879830000267248, 0.28850519999832613, 0.1741100999970513, 0.1593488000034995, 0.1574121000012383]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404, 0.04788209999969695, 0.00011470000026747584, 0.04706559999976889, 0.048289100002875784, 0.0471335000002, 0.1574153000001388]",12,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906, 0.22120730000096955, 0.15950919999886537, 0.15767939999932423, 0.15859700000146404, 0.2831335999981093, 0.15845489999992424]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.06404579999798443, 8.339999840245582e-05, 8.459999662591144e-05, 0.0474145000007411, 0.046549800001230324, 8.320000051753595e-05, 0.03430889999799547]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
23,0,23,0,13.098984799999016,13.098984799999016,13.098984799999016,13.098984799999016,13.098984799999016,13.098984799999016,12,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634, 0.28547180000168737, 0.15879830000267248, 0.28850519999832613, 0.1741100999970513, 0.1593488000034995, 0.1574121000012383, 0.15944890000173473]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404, 0.04788209999969695, 0.00011470000026747584, 0.04706559999976889, 0.048289100002875784, 0.0471335000002, 0.048255500001687324, 0.15945189999911236]",12,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906, 0.22120730000096955, 0.15950919999886537, 0.15767939999932423, 0.15859700000146404, 0.2831335999981093, 0.15845489999992424]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.06404579999798443, 8.339999840245582e-05, 8.459999662591144e-05, 0.0474145000007411, 0.046549800001230324, 8.320000051753595e-05, 0.03430889999799547]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
24,0,24,0,13.273019399999612,13.273019399999612,13.273019399999612,13.273019399999612,13.273019399999612,13.273019399999612,13,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634, 0.28547180000168737, 0.15879830000267248, 0.28850519999832613, 0.1741100999970513, 0.1593488000034995, 0.1574121000012383, 0.15944890000173473, 0.15877229999750853]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404, 0.04788209999969695, 0.00011470000026747584, 0.04706559999976889, 0.048289100002875784, 0.0471335000002, 0.048255500001687324, 0.047902399997838074, 0.15877529999852413]",12,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906, 0.22120730000096955, 0.15950919999886537, 0.15767939999932423, 0.15859700000146404, 0.2831335999981093, 0.15845489999992424]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.06404579999798443, 8.339999840245582e-05, 8.459999662591144e-05, 0.0474145000007411, 0.046549800001230324, 8.320000051753595e-05, 0.03430889999799547]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
25,0,25,0,13.432145599999785,13.432145599999785,13.432145599999785,13.432145599999785,13.432145599999785,13.432145599999785,13,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634, 0.28547180000168737, 0.15879830000267248, 0.28850519999832613, 0.1741100999970513, 0.1593488000034995, 0.1574121000012383, 0.15944890000173473, 0.15877229999750853]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404, 0.04788209999969695, 0.00011470000026747584, 0.04706559999976889, 0.048289100002875784, 0.0471335000002, 0.048255500001687324, 0.047902399997838074, 0.06509870000081719]",13,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906, 0.22120730000096955, 0.15950919999886537, 0.15767939999932423, 0.15859700000146404, 0.2831335999981093, 0.15845489999992424, 0.6506043000008503]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.06404579999798443, 8.339999840245582e-05, 8.459999662591144e-05, 0.0474145000007411, 0.046549800001230324, 8.320000051753595e-05, 0.03430889999799547, 0.6506074000026274]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
26,0,26,0,14.09753179999825,14.09753179999825,14.09753179999825,14.09753179999825,14.09753179999825,14.09753179999825,13,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634, 0.28547180000168737, 0.15879830000267248, 0.28850519999832613, 0.1741100999970513, 0.1593488000034995, 0.1574121000012383, 0.15944890000173473, 0.15877229999750853]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404, 0.04788209999969695, 0.00011470000026747584, 0.04706559999976889, 0.048289100002875784, 0.0471335000002, 0.048255500001687324, 0.047902399997838074, 0.06509870000081719]",14,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906, 0.22120730000096955, 0.15950919999886537, 0.15767939999932423, 0.15859700000146404, 0.2831335999981093, 0.15845489999992424, 0.6506043000008503, 0.19071970000004512]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.06404579999798443, 8.339999840245582e-05, 8.459999662591144e-05, 0.0474145000007411, 0.046549800001230324, 8.320000051753595e-05, 0.03430889999799547, 0.0646883000008529, 0.19072270000106073]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
27,0,27,0,14.31876629999897,14.31876629999897,14.31876629999897,14.31876629999897,14.31876629999897,14.31876629999897,13,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634, 0.28547180000168737, 0.15879830000267248, 0.28850519999832613, 0.1741100999970513, 0.1593488000034995, 0.1574121000012383, 0.15944890000173473, 0.15877229999750853]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404, 0.04788209999969695, 0.00011470000026747584, 0.04706559999976889, 0.048289100002875784, 0.0471335000002, 0.048255500001687324, 0.047902399997838074, 0.06509870000081719]",15,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906, 0.22120730000096955, 0.15950919999886537, 0.15767939999932423, 0.15859700000146404, 0.2831335999981093, 0.15845489999992424, 0.6506043000008503, 0.19071970000004512, 0.15889620000234572]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.06404579999798443, 8.339999840245582e-05, 8.459999662591144e-05, 0.0474145000007411, 0.046549800001230324, 8.320000051753595e-05, 0.03430889999799547, 0.0646883000008529, 0.0491152000031434, 0.15889910000259988]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
28,0,28,0,14.492764599999646,14.492764599999646,14.492764599999646,14.492764599999646,14.492764599999646,14.492764599999646,14,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634, 0.28547180000168737, 0.15879830000267248, 0.28850519999832613, 0.1741100999970513, 0.1593488000034995, 0.1574121000012383, 0.15944890000173473, 0.15877229999750853, 0.3643789000016113]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404, 0.04788209999969695, 0.00011470000026747584, 0.04706559999976889, 0.048289100002875784, 0.0471335000002, 0.048255500001687324, 0.047902399997838074, 0.06509870000081719, 0.36438190000262694]",15,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906, 0.22120730000096955, 0.15950919999886537, 0.15767939999932423, 0.15859700000146404, 0.2831335999981093, 0.15845489999992424, 0.6506043000008503, 0.19071970000004512, 0.15889620000234572]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.06404579999798443, 8.339999840245582e-05, 8.459999662591144e-05, 0.0474145000007411, 0.046549800001230324, 8.320000051753595e-05, 0.03430889999799547, 0.0646883000008529, 0.0491152000031434, 0.04950970000209054]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
29,0,29,0,14.872065999999904,14.872065999999904,14.872065999999904,14.872065999999904,14.872065999999904,14.872065999999904,15,"[0.9917692000017269, 0.1417505000026722, 0.3334521999968274, 0.15992700000060722, 0.18978360000255634, 0.28547180000168737, 0.15879830000267248, 0.28850519999832613, 0.1741100999970513, 0.1593488000034995, 0.1574121000012383, 0.15944890000173473, 0.15877229999750853, 0.3643789000016113, 0.15766789999906905]","[0.00011340000128257088, 0.00017780000052880496, 0.00011480000102892518, 0.06310750000193366, 0.04891700000007404, 0.04788209999969695, 0.00011470000026747584, 0.04706559999976889, 0.048289100002875784, 0.0471335000002, 0.048255500001687324, 0.047902399997838074, 0.06509870000081719, 0.00011699999959091656, 0.1576707999993232]",15,"[0.20460180000009132, 0.2058458999999857, 0.12796829999933834, 0.15758700000151293, 0.17370710000250256, 0.2698073999999906, 0.22120730000096955, 0.15950919999886537, 0.15767939999932423, 0.15859700000146404, 0.2831335999981093, 0.15845489999992424, 0.6506043000008503, 0.19071970000004512, 0.15889620000234572]","[8.349999916390516e-05, 8.759999764151871e-05, 0.046655699999973876, 0.04799289999937173, 0.04858290000265697, 0.06404579999798443, 8.339999840245582e-05, 8.459999662591144e-05, 0.0474145000007411, 0.046549800001230324, 8.320000051753595e-05, 0.03430889999799547, 0.0646883000008529, 0.0491152000031434, 0.04950970000209054]",None,None,165079,001,2023-05-09_20h24.05.886,pb,2022.2.5,245.76968923941106,
