trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,plus.started,minus.started,win_lose.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,participant,session,date,expName,psychopyVersion,frameRate,
10,0,10,0,10.148356600000625,10.148356600000625,10.148356600000625,10.148356600000625,5,"[0.8172517999992124, 0.8109062000003178, 0.5169777999999496, 0.21217750000141677, 0.37848810000105004]","[0.06029600000147184, 0.06940679999934218, 0.09114010000121198, 0.08173849999911909, 0.06416659999922558]",6,"[0.6020607000009477, 0.5635482999987289, 0.37578319999920495, 0.41612189999978, 0.19970869999997376, 0.2705106000012165]","[0.06716450000021723, 0.0860545000014099, 0.0900151999994705, 0.05997820000084175, 0.07550389999960316, 0.2705134999996517]",796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
11,0,11,0,10.430157700000564,10.430157700000564,10.430157700000564,10.430157700000564,6,"[0.8172517999992124, 0.8109062000003178, 0.5169777999999496, 0.21217750000141677, 0.37848810000105004, 0.25061939999977767]","[0.06029600000147184, 0.06940679999934218, 0.09114010000121198, 0.08173849999911909, 0.06416659999922558, 0.2506221000003279]",6,"[0.6020607000009477, 0.5635482999987289, 0.37578319999920495, 0.41612189999978, 0.19970869999997376, 0.2705106000012165]","[0.06716450000021723, 0.0860545000014099, 0.0900151999994705, 0.05997820000084175, 0.07550389999960316, 0.07765529999960563]",796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
12,0,12,0,10.690518700001121,10.690518700001121,10.690518700001121,10.690518700001121,6,"[0.8172517999992124, 0.8109062000003178, 0.5169777999999496, 0.21217750000141677, 0.37848810000105004, 0.25061939999977767]","[0.06029600000147184, 0.06940679999934218, 0.09114010000121198, 0.08173849999911909, 0.06416659999922558, 0.07381249999889405]",7,"[0.6020607000009477, 0.5635482999987289, 0.37578319999920495, 0.41612189999978, 0.19970869999997376, 0.2705106000012165, 0.25389479999830655]","[0.06716450000021723, 0.0860545000014099, 0.0900151999994705, 0.05997820000084175, 0.07550389999960316, 0.07765529999960563, 0.2538976999985607]",796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
13,0,13,0,10.955698900001153,10.955698900001153,10.955698900001153,10.955698900001153,7,"[0.8172517999992124, 0.8109062000003178, 0.5169777999999496, 0.21217750000141677, 0.37848810000105004, 0.25061939999977767, 0.25958729999911156]","[0.06029600000147184, 0.06940679999934218, 0.09114010000121198, 0.08173849999911909, 0.06416659999922558, 0.07381249999889405, 0.2595900999986043]",7,"[0.6020607000009477, 0.5635482999987289, 0.37578319999920495, 0.41612189999978, 0.19970869999997376, 0.2705106000012165, 0.25389479999830655]","[0.06716450000021723, 0.0860545000014099, 0.0900151999994705, 0.05997820000084175, 0.07550389999960316, 0.07765529999960563, 0.0736148999985744]",796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
14,0,14,0,11.224858400000812,11.224858400000812,11.224858400000812,11.224858400000812,7,"[0.8172517999992124, 0.8109062000003178, 0.5169777999999496, 0.21217750000141677, 0.37848810000105004, 0.25061939999977767, 0.25958729999911156]","[0.06029600000147184, 0.06940679999934218, 0.09114010000121198, 0.08173849999911909, 0.06416659999922558, 0.07381249999889405, 0.08623759999863978]",8,"[0.6020607000009477, 0.5635482999987289, 0.37578319999920495, 0.41612189999978, 0.19970869999997376, 0.2705106000012165, 0.25389479999830655, 0.27665650000017195]","[0.06716450000021723, 0.0860545000014099, 0.0900151999994705, 0.05997820000084175, 0.07550389999960316, 0.07765529999960563, 0.0736148999985744, 0.2766594000004261]",796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
15,0,15,0,11.512472700000217,11.512472700000217,11.512472700000217,11.512472700000217,8,"[0.8172517999992124, 0.8109062000003178, 0.5169777999999496, 0.21217750000141677, 0.37848810000105004, 0.25061939999977767, 0.25958729999911156, 0.3577392000006512]","[0.06029600000147184, 0.06940679999934218, 0.09114010000121198, 0.08173849999911909, 0.06416659999922558, 0.07381249999889405, 0.08623759999863978, 0.3577420000001439]",8,"[0.6020607000009477, 0.5635482999987289, 0.37578319999920495, 0.41612189999978, 0.19970869999997376, 0.2705106000012165, 0.25389479999830655, 0.27665650000017195]","[0.06716450000021723, 0.0860545000014099, 0.0900151999994705, 0.05997820000084175, 0.07550389999960316, 0.07765529999960563, 0.0736148999985744, 0.0744288999994751]",796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
16,0,16,0,11.881191500000568,11.881191500000568,11.881191500000568,11.881191500000568,9,"[0.8172517999992124, 0.8109062000003178, 0.5169777999999496, 0.21217750000141677, 0.37848810000105004, 0.25061939999977767, 0.25958729999911156, 0.3577392000006512, 0.20908559999952558]","[0.06029600000147184, 0.06940679999934218, 0.09114010000121198, 0.08173849999911909, 0.06416659999922558, 0.07381249999889405, 0.08623759999863978, 0.09151729999939562, 0.20908840000083728]",8,"[0.6020607000009477, 0.5635482999987289, 0.37578319999920495, 0.41612189999978, 0.19970869999997376, 0.2705106000012165, 0.25389479999830655, 0.27665650000017195]","[0.06716450000021723, 0.0860545000014099, 0.0900151999994705, 0.05997820000084175, 0.07550389999960316, 0.07765529999960563, 0.0736148999985744, 0.0744288999994751]",796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
17,0,17,0,12.100181700001485,12.100181700001485,12.100181700001485,12.100181700001485,9,"[0.8172517999992124, 0.8109062000003178, 0.5169777999999496, 0.21217750000141677, 0.37848810000105004, 0.25061939999977767, 0.25958729999911156, 0.3577392000006512, 0.20908559999952558]","[0.06029600000147184, 0.06940679999934218, 0.09114010000121198, 0.08173849999911909, 0.06416659999922558, 0.07381249999889405, 0.08623759999863978, 0.09151729999939562, 0.07896550000077696]",9,"[0.6020607000009477, 0.5635482999987289, 0.37578319999920495, 0.41612189999978, 0.19970869999997376, 0.2705106000012165, 0.25389479999830655, 0.27665650000017195, 0.3061273000002984]","[0.06716450000021723, 0.0860545000014099, 0.0900151999994705, 0.05997820000084175, 0.07550389999960316, 0.07765529999960563, 0.0736148999985744, 0.0744288999994751, 0.3061304000002565]",796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
18,0,18,0,12.41646430000037,12.41646430000037,12.41646430000037,12.41646430000037,9,"[0.8172517999992124, 0.8109062000003178, 0.5169777999999496, 0.21217750000141677, 0.37848810000105004, 0.25061939999977767, 0.25958729999911156, 0.3577392000006512, 0.20908559999952558]","[0.06029600000147184, 0.06940679999934218, 0.09114010000121198, 0.08173849999911909, 0.06416659999922558, 0.07381249999889405, 0.08623759999863978, 0.09151729999939562, 0.07896550000077696]",10,"[0.6020607000009477, 0.5635482999987289, 0.37578319999920495, 0.41612189999978, 0.19970869999997376, 0.2705106000012165, 0.25389479999830655, 0.27665650000017195, 0.3061273000002984, 0.17763299999933224]","[0.06716450000021723, 0.0860545000014099, 0.0900151999994705, 0.05997820000084175, 0.07550389999960316, 0.07765529999960563, 0.0736148999985744, 0.0744288999994751, 0.0803063999992446, 0.1776358999995864]",796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
19,0,19,0,12.604592000001503,12.604592000001503,12.604592000001503,12.604592000001503,10,"[0.8172517999992124, 0.8109062000003178, 0.5169777999999496, 0.21217750000141677, 0.37848810000105004, 0.25061939999977767, 0.25958729999911156, 0.3577392000006512, 0.20908559999952558, 0.2738197999988188]","[0.06029600000147184, 0.06940679999934218, 0.09114010000121198, 0.08173849999911909, 0.06416659999922558, 0.07381249999889405, 0.08623759999863978, 0.09151729999939562, 0.07896550000077696, 0.27382249999936903]",10,"[0.6020607000009477, 0.5635482999987289, 0.37578319999920495, 0.41612189999978, 0.19970869999997376, 0.2705106000012165, 0.25389479999830655, 0.27665650000017195, 0.3061273000002984, 0.17763299999933224]","[0.06716450000021723, 0.0860545000014099, 0.0900151999994705, 0.05997820000084175, 0.07550389999960316, 0.07765529999960563, 0.0736148999985744, 0.0744288999994751, 0.0803063999992446, 0.08547079999880225]",796200,001,2023-05-05_16h39.01.043,pb,2022.2.5,237.27325574719788,
,,,,12.887757500000589,12.887757500000589,12.887757500000589,12.887757500000589,,,,,,,,,,,,,
