trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,header.started,plus.started,minus.started,win_lose.started,plus.numClicks,plus.timesOn,plus.timesOff,minus.numClicks,minus.timesOn,minus.timesOff,green.response,red.response,participant,session,date,expName,psychopyVersion,frameRate,
10,0,10,0,7.7942638999993505,7.7942638999993505,7.7942638999993505,7.7942638999993505,6,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.030252500000642613]",5,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092, 0.2527484000002005]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05, 0.252751599999101]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
11,0,11,0,8.079603599999245,8.079603599999245,8.079603599999245,8.079603599999245,6,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.030252500000642613]",6,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092, 0.2527484000002005, 0.20562470000004396]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05, 0.047556299999996554, 0.20562769999924058]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
12,0,12,0,8.301729599999817,8.301729599999817,8.301729599999817,8.301729599999817,6,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.030252500000642613]",7,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092, 0.2527484000002005, 0.20562470000004396, 0.12820110000029672]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05, 0.047556299999996554, 9.040000077220611e-05, 0.12820409999949334]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
13,0,13,0,8.443522100000337,8.443522100000337,8.443522100000337,8.443522100000337,6,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.030252500000642613]",8,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092, 0.2527484000002005, 0.20562470000004396, 0.12820110000029672, 0.1410228000004281]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05, 0.047556299999996554, 9.040000077220611e-05, 0.046447900000202935, 0.14102579999962472]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
14,0,14,0,8.586799799999426,8.586799799999426,8.586799799999426,8.586799799999426,6,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.030252500000642613]",9,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092, 0.2527484000002005, 0.20562470000004396, 0.12820110000029672, 0.1410228000004281, 0.14489880000110134]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05, 0.047556299999996554, 9.040000077220611e-05, 0.046447900000202935, 0.06495950000135053, 0.1449019000010594]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
15,0,15,0,8.744656099999702,8.744656099999702,8.744656099999702,8.744656099999702,6,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.030252500000642613]",10,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092, 0.2527484000002005, 0.20562470000004396, 0.12820110000029672, 0.1410228000004281, 0.14489880000110134, 0.18915799999922456]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05, 0.047556299999996554, 9.040000077220611e-05, 0.046447900000202935, 0.06495950000135053, 0.06156600000031176, 0.18916100000024016]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
16,0,16,0,8.967480299999806,8.967480299999806,8.967480299999806,8.967480299999806,6,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.030252500000642613]",11,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092, 0.2527484000002005, 0.20562470000004396, 0.12820110000029672, 0.1410228000004281, 0.14489880000110134, 0.18915799999922456, 0.12631320000036794]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05, 0.047556299999996554, 9.040000077220611e-05, 0.046447900000202935, 0.06495950000135053, 0.06156600000031176, 9.090000094147399e-05, 0.12631619999956456]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
17,0,17,0,9.109099299999798,9.109099299999798,9.109099299999798,9.109099299999798,6,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.030252500000642613]",12,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092, 0.2527484000002005, 0.20562470000004396, 0.12820110000029672, 0.1410228000004281, 0.14489880000110134, 0.18915799999922456, 0.12631320000036794, 0.14374970000062604]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05, 0.047556299999996554, 9.040000077220611e-05, 0.046447900000202935, 0.06495950000135053, 0.06156600000031176, 9.090000094147399e-05, 8.270000034826808e-05, 0.1437528000005841]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
18,0,18,0,9.251142600000094,9.251142600000094,9.251142600000094,9.251142600000094,6,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.030252500000642613]",13,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092, 0.2527484000002005, 0.20562470000004396, 0.12820110000029672, 0.1410228000004281, 0.14489880000110134, 0.18915799999922456, 0.12631320000036794, 0.14374970000062604, 0.1445861000011064]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05, 0.047556299999996554, 9.040000077220611e-05, 0.046447900000202935, 0.06495950000135053, 0.06156600000031176, 9.090000094147399e-05, 8.270000034826808e-05, 0.03258560000176658, 0.144589100000303]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
19,0,19,0,9.426364799999646,9.426364799999646,9.426364799999646,9.426364799999646,7,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303, 0.2380671999999322]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.030252500000642613, 0.23807019999912882]",13,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092, 0.2527484000002005, 0.20562470000004396, 0.12820110000029672, 0.1410228000004281, 0.14489880000110134, 0.18915799999922456, 0.12631320000036794, 0.14374970000062604, 0.1445861000011064]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05, 0.047556299999996554, 9.040000077220611e-05, 0.046447900000202935, 0.06495950000135053, 0.06156600000031176, 9.090000094147399e-05, 8.270000034826808e-05, 0.03258560000176658, 8.319999869854655e-05]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
20,0,20,0,9.678957100000844,9.678957100000844,9.678957100000844,9.678957100000844,8,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303, 0.2380671999999322, 0.12660839999989548]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.030252500000642613, 0.04700260000026901, 0.12661130000014964]",13,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092, 0.2527484000002005, 0.20562470000004396, 0.12820110000029672, 0.1410228000004281, 0.14489880000110134, 0.18915799999922456, 0.12631320000036794, 0.14374970000062604, 0.1445861000011064]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05, 0.047556299999996554, 9.040000077220611e-05, 0.046447900000202935, 0.06495950000135053, 0.06156600000031176, 9.090000094147399e-05, 8.270000034826808e-05, 0.03258560000176658, 8.319999869854655e-05]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
21,0,21,0,9.8225108000006,9.8225108000006,9.8225108000006,9.8225108000006,9,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303, 0.2380671999999322, 0.12660839999989548, 0.20732270000007702]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.030252500000642613, 0.04700260000026901, 0.0795562000002974, 0.2073258000000351]",13,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092, 0.2527484000002005, 0.20562470000004396, 0.12820110000029672, 0.1410228000004281, 0.14489880000110134, 0.18915799999922456, 0.12631320000036794, 0.14374970000062604, 0.1445861000011064]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05, 0.047556299999996554, 9.040000077220611e-05, 0.046447900000202935, 0.06495950000135053, 0.06156600000031176, 9.090000094147399e-05, 8.270000034826808e-05, 0.03258560000176658, 8.319999869854655e-05]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
22,0,22,0,10.043465000000651,10.043465000000651,10.043465000000651,10.043465000000651,10,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303, 0.2380671999999322, 0.12660839999989548, 0.20732270000007702, 0.12619039999844972]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.030252500000642613, 0.04700260000026901, 0.0795562000002974, 0.00021190000006754417, 0.12619329999870388]",13,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092, 0.2527484000002005, 0.20562470000004396, 0.12820110000029672, 0.1410228000004281, 0.14489880000110134, 0.18915799999922456, 0.12631320000036794, 0.14374970000062604, 0.1445861000011064]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05, 0.047556299999996554, 9.040000077220611e-05, 0.046447900000202935, 0.06495950000135053, 0.06156600000031176, 9.090000094147399e-05, 8.270000034826808e-05, 0.03258560000176658, 8.319999869854655e-05]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
23,0,23,0,10.18648519999988,10.18648519999988,10.18648519999988,10.18648519999988,11,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303, 0.2380671999999322, 0.12660839999989548, 0.20732270000007702, 0.12619039999844972, 0.19033200000012584]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.030252500000642613, 0.04700260000026901, 0.0795562000002974, 0.00021190000006754417, 0.047993399999541, 0.19033479999961855]",13,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092, 0.2527484000002005, 0.20562470000004396, 0.12820110000029672, 0.1410228000004281, 0.14489880000110134, 0.18915799999922456, 0.12631320000036794, 0.14374970000062604, 0.1445861000011064]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05, 0.047556299999996554, 9.040000077220611e-05, 0.046447900000202935, 0.06495950000135053, 0.06156600000031176, 9.090000094147399e-05, 8.270000034826808e-05, 0.03258560000176658, 8.319999869854655e-05]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
24,0,24,0,10.393048300000373,10.393048300000373,10.393048300000373,10.393048300000373,12,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303, 0.2380671999999322, 0.12660839999989548, 0.20732270000007702, 0.12619039999844972, 0.19033200000012584, 0.1293818000012834]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.030252500000642613, 0.04700260000026901, 0.0795562000002974, 0.00021190000006754417, 0.047993399999541, 0.00011340000128257088, 0.12938469999971858]",13,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092, 0.2527484000002005, 0.20562470000004396, 0.12820110000029672, 0.1410228000004281, 0.14489880000110134, 0.18915799999922456, 0.12631320000036794, 0.14374970000062604, 0.1445861000011064]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05, 0.047556299999996554, 9.040000077220611e-05, 0.046447900000202935, 0.06495950000135053, 0.06156600000031176, 9.090000094147399e-05, 8.270000034826808e-05, 0.03258560000176658, 8.319999869854655e-05]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
25,0,25,0,10.535858100000041,10.535858100000041,10.535858100000041,10.535858100000041,13,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303, 0.2380671999999322, 0.12660839999989548, 0.20732270000007702, 0.12619039999844972, 0.19033200000012584, 0.1293818000012834, 0.15838040000016917]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.030252500000642613, 0.04700260000026901, 0.0795562000002974, 0.00021190000006754417, 0.047993399999541, 0.00011340000128257088, 0.04747320000024047, 0.15838330000042333]",13,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092, 0.2527484000002005, 0.20562470000004396, 0.12820110000029672, 0.1410228000004281, 0.14489880000110134, 0.18915799999922456, 0.12631320000036794, 0.14374970000062604, 0.1445861000011064]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05, 0.047556299999996554, 9.040000077220611e-05, 0.046447900000202935, 0.06495950000135053, 0.06156600000031176, 9.090000094147399e-05, 8.270000034826808e-05, 0.03258560000176658, 8.319999869854655e-05]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
26,0,26,0,10.69379409999965,10.69379409999965,10.69379409999965,10.69379409999965,14,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303, 0.2380671999999322, 0.12660839999989548, 0.20732270000007702, 0.12619039999844972, 0.19033200000012584, 0.1293818000012834, 0.15838040000016917, 0.14200639999944542]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.030252500000642613, 0.04700260000026901, 0.0795562000002974, 0.00021190000006754417, 0.047993399999541, 0.00011340000128257088, 0.04747320000024047, 0.06345590000091761, 0.14200920000075712]",13,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092, 0.2527484000002005, 0.20562470000004396, 0.12820110000029672, 0.1410228000004281, 0.14489880000110134, 0.18915799999922456, 0.12631320000036794, 0.14374970000062604, 0.1445861000011064]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05, 0.047556299999996554, 9.040000077220611e-05, 0.046447900000202935, 0.06495950000135053, 0.06156600000031176, 9.090000094147399e-05, 8.270000034826808e-05, 0.03258560000176658, 8.319999869854655e-05]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
27,0,27,0,10.852435500000865,10.852435500000865,10.852435500000865,10.852435500000865,15,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303, 0.2380671999999322, 0.12660839999989548, 0.20732270000007702, 0.12619039999844972, 0.19033200000012584, 0.1293818000012834, 0.15838040000016917, 0.14200639999944542, 0.17531449999842152]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.030252500000642613, 0.04700260000026901, 0.0795562000002974, 0.00021190000006754417, 0.047993399999541, 0.00011340000128257088, 0.04747320000024047, 0.06345590000091761, 0.06509559999904013, 0.17531739999867568]",13,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092, 0.2527484000002005, 0.20562470000004396, 0.12820110000029672, 0.1410228000004281, 0.14489880000110134, 0.18915799999922456, 0.12631320000036794, 0.14374970000062604, 0.1445861000011064]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05, 0.047556299999996554, 9.040000077220611e-05, 0.046447900000202935, 0.06495950000135053, 0.06156600000031176, 9.090000094147399e-05, 8.270000034826808e-05, 0.03258560000176658, 8.319999869854655e-05]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
28,0,28,0,11.040473400000337,11.040473400000337,11.040473400000337,11.040473400000337,16,"[0.5159839000007196, 0.14089120000062394, 0.1268398000011075, 0.20744379999996454, 0.15973059999851102, 0.14145669999925303, 0.2380671999999322, 0.12660839999989548, 0.20732270000007702, 0.12619039999844972, 0.19033200000012584, 0.1293818000012834, 0.15838040000016917, 0.14200639999944542, 0.17531449999842152, 0.14569630000005418]","[0.029515600001104758, 0.00012690000039583538, 0.00011929999891435727, 0.04843379999874742, 0.06161959999917599, 0.030252500000642613, 0.04700260000026901, 0.0795562000002974, 0.00021190000006754417, 0.047993399999541, 0.00011340000128257088, 0.04747320000024047, 0.06345590000091761, 0.06509559999904013, 0.06418719999965106, 0.14569920000030834]",13,"[0.23841869999887422, 0.15916610000022047, 0.15939849999995204, 0.14220109999951092, 0.2527484000002005, 0.20562470000004396, 0.12820110000029672, 0.1410228000004281, 0.14489880000110134, 0.18915799999922456, 0.12631320000036794, 0.14374970000062604, 0.1445861000011064]","[0.04769469999882858, 0.04843740000069374, 0.03349940000043716, 9.409999984200113e-05, 0.047556299999996554, 9.040000077220611e-05, 0.046447900000202935, 0.06495950000135053, 0.06156600000031176, 9.090000094147399e-05, 8.270000034826808e-05, 0.03258560000176658, 8.319999869854655e-05]",None,None,991316,001,2023-05-05_17h09.07.191,pb,2022.2.5,235.56293653025597,
,,,,11.216648999999961,11.216648999999961,11.216648999999961,11.216648999999961,,,,,,,,,,,,,,,
