1.5051 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.2783 	EXP 	text_2: height = 0.05
6.2783 	EXP 	text_2: height = 0.05
6.2783 	EXP 	text_2: text = 0
6.2823 	EXP 	text_2: height = 0.05
6.2823 	EXP 	text_2: height = 0.05
6.2823 	EXP 	text_2: height = 0.05
6.2823 	EXP 	text_2: text = 0
6.2865 	EXP 	text_2: height = 0.05
6.2865 	EXP 	text_2: height = 0.05
6.2865 	EXP 	text_2: height = 0.05
6.2865 	EXP 	text_2: text = 0
6.2906 	EXP 	text_2: height = 0.05
6.2906 	EXP 	text_2: height = 0.05
6.2906 	EXP 	text_2: height = 0.05
6.2906 	EXP 	text_2: text = 0
6.2948 	EXP 	text_2: height = 0.05
6.2948 	EXP 	text_2: height = 0.05
6.2948 	EXP 	text_2: height = 0.05
6.2948 	EXP 	text_2: text = 0
6.2990 	EXP 	text_2: height = 0.05
6.2990 	EXP 	text_2: height = 0.05
6.2990 	EXP 	text_2: height = 0.05
6.2990 	EXP 	text_2: text = 0
6.3031 	EXP 	text_2: height = 0.05
6.3031 	EXP 	text_2: height = 0.05
6.3031 	EXP 	text_2: height = 0.05
6.3031 	EXP 	text_2: text = 0
6.3081 	EXP 	text_2: height = 0.05
6.3081 	EXP 	text_2: height = 0.05
6.3081 	EXP 	text_2: height = 0.05
6.3081 	EXP 	text_2: text = 0
6.3116 	EXP 	text_2: height = 0.05
6.3116 	EXP 	text_2: height = 0.05
6.3116 	EXP 	text_2: height = 0.05
6.3116 	EXP 	text_2: text = 0
6.3158 	EXP 	text_2: height = 0.05
6.3158 	EXP 	text_2: height = 0.05
6.3158 	EXP 	text_2: height = 0.05
6.3158 	EXP 	text_2: text = 0
6.3199 	EXP 	text_2: height = 0.05
6.3199 	EXP 	text_2: height = 0.05
6.3199 	EXP 	text_2: height = 0.05
6.3199 	EXP 	text_2: text = 0
6.3241 	EXP 	text_2: height = 0.05
6.3241 	EXP 	text_2: height = 0.05
6.3241 	EXP 	text_2: height = 0.05
6.3241 	EXP 	text_2: text = 0
6.3283 	EXP 	text_2: height = 0.05
6.3283 	EXP 	text_2: height = 0.05
6.3283 	EXP 	text_2: height = 0.05
6.3283 	EXP 	text_2: text = 0
6.3324 	EXP 	text_2: height = 0.05
6.3324 	EXP 	text_2: height = 0.05
6.3324 	EXP 	text_2: height = 0.05
6.3324 	EXP 	text_2: text = 0
6.3366 	EXP 	text_2: height = 0.05
6.3366 	EXP 	text_2: height = 0.05
6.3366 	EXP 	text_2: height = 0.05
6.3366 	EXP 	text_2: text = 0
6.3409 	EXP 	text_2: height = 0.05
6.3409 	EXP 	text_2: height = 0.05
6.3409 	EXP 	text_2: height = 0.05
6.3409 	EXP 	text_2: text = 0
6.3449 	EXP 	text_2: height = 0.05
6.3449 	EXP 	text_2: height = 0.05
6.3449 	EXP 	text_2: height = 0.05
6.3449 	EXP 	text_2: text = 0
6.3491 	EXP 	text_2: height = 0.05
6.3491 	EXP 	text_2: height = 0.05
6.3491 	EXP 	text_2: height = 0.05
6.3491 	EXP 	text_2: text = 0
6.3533 	EXP 	text_2: height = 0.05
6.3533 	EXP 	text_2: height = 0.05
6.3533 	EXP 	text_2: height = 0.05
6.3533 	EXP 	text_2: text = 0
6.3575 	EXP 	text_2: height = 0.05
