1.5557 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
7.2344 	EXP 	text: text = 1.8232341000002634
7.2386 	EXP 	text: height = 0.05
7.2386 	EXP 	text: height = 0.05
7.2386 	EXP 	text: height = 0.05
7.2386 	EXP 	text: text = 1.818243599998823
7.2437 	EXP 	text: height = 0.05
7.2437 	EXP 	text: height = 0.05
7.2437 	EXP 	text: height = 0.05
7.2437 	EXP 	text: text = 1.814087599999766
7.2479 	EXP 	text: height = 0.05
7.2479 	EXP 	text: height = 0.05
7.2479 	EXP 	text: height = 0.05
7.2479 	EXP 	text: text = 1.8089657999989868
7.2537 	EXP 	text: height = 0.05
7.2537 	EXP 	text: height = 0.05
7.2537 	EXP 	text: height = 0.05
7.2537 	EXP 	text: text = 1.8048057000014524
7.2578 	EXP 	text: height = 0.05
7.2578 	EXP 	text: height = 0.05
7.2578 	EXP 	text: height = 0.05
7.2578 	EXP 	text: text = 1.7989553000006708
7.2620 	EXP 	text: height = 0.05
7.2620 	EXP 	text: height = 0.05
7.2620 	EXP 	text: height = 0.05
7.2620 	EXP 	text: text = 1.7949026999995112
7.2661 	EXP 	text: height = 0.05
7.2661 	EXP 	text: height = 0.05
7.2661 	EXP 	text: height = 0.05
7.2661 	EXP 	text: text = 1.7906870000006165
7.2703 	EXP 	text: height = 0.05
7.2703 	EXP 	text: height = 0.05
7.2703 	EXP 	text: height = 0.05
7.2703 	EXP 	text: text = 1.7865643000004638
7.2745 	EXP 	text: height = 0.05
7.2745 	EXP 	text: height = 0.05
7.2745 	EXP 	text: height = 0.05
7.2745 	EXP 	text: text = 1.782408499999292
7.2786 	EXP 	text: height = 0.05
7.2786 	EXP 	text: height = 0.05
7.2786 	EXP 	text: height = 0.05
7.2786 	EXP 	text: text = 1.7782435000008263
7.2836 	EXP 	text: height = 0.05
7.2836 	EXP 	text: height = 0.05
7.2836 	EXP 	text: height = 0.05
7.2836 	EXP 	text: text = 1.774074600001768
7.2880 	EXP 	text: height = 0.05
7.2880 	EXP 	text: height = 0.05
7.2880 	EXP 	text: height = 0.05
7.2880 	EXP 	text: text = 1.7691135000022769
7.2920 	EXP 	text: height = 0.05
7.2920 	EXP 	text: height = 0.05
7.2920 	EXP 	text: height = 0.05
7.2920 	EXP 	text: text = 1.7647027000020898
7.2962 	EXP 	text: height = 0.05
7.2962 	EXP 	text: height = 0.05
7.2962 	EXP 	text: height = 0.05
7.2962 	EXP 	text: text = 1.7606574999990698
7.3003 	EXP 	text: height = 0.05
7.3003 	EXP 	text: height = 0.05
7.3003 	EXP 	text: height = 0.05
7.3003 	EXP 	text: text = 1.7564959000010276
7.3045 	EXP 	text: height = 0.05
7.3045 	EXP 	text: height = 0.05
7.3045 	EXP 	text: height = 0.05
7.3045 	EXP 	text: text = 1.7523579000007885
7.3087 	EXP 	text: height = 0.05
